Covidence #,Study ID,Title,Reviewer Name,Does the study include a socio-environmental model?,Country / region in which the study is focused ,State?,Regional_Global,Miscellaneous Notes,Type of Model,Does the study quantify model uncertainty? ,How does this model quantify uncertainty?,Does the model uncertainty approach fall into any of the following categories? 
43,Zhan 2023,High-resolution livestock seasonal distribution data on the Qinghai-Tibet Plateau in 2020,Consensus,Yes,China,NA,,consider GLW3 a biophysical model?,Biophysical model; Other: Machine learning (random forest),Yes,Validation / cross-validation (using empirical data),Model specification
45,Williams 2020,Assessing model equifinality for robust policy analysis in complex socio-environmental systems,Consensus,Yes,Ethiopia,NA,,,Agent-based model,Yes, Sensitivity analysis,Model specification
51,Yang 2020,Patch-based cellular automata model of urban growth simulation: Integrating feedback between quantitative composition and spatial configuration,Consensus,Yes,China,NA,,CA model counts as ABM?,System dynamics model; Other: Cellular Automata,Yes,Validation / cross-validation (using empirical data); Other: Monte Carlo simulation,Model specification; Knowledge of the system; Spatial and temporal scale issues; Spatial dependence & heterogeneity issues
52,Letourneau 2012,A land-use systems approach to represent land-use dynamics at continental and global scales,Consensus,Yes,Global,NA,Global,,System dynamics model; Conceptual model (non-quantitative),No,,Empirical data limitations
53,Lepper 2022,The Role of the Environment in Dynamics of Antibiotic Resistance in Humans and Animals: A Modelling Study,Consensus,Yes,None_Unspecified,NA,,Epidemiological model,System dynamics model; Other: Epidemiological model,Yes, Sensitivity analysis,Model specification; Spatial and temporal scale issues; Empirical data limitations
54,Deroliya 2022,A novel flood risk mapping approach with machine learning considering geomorphic and socio-economic vulnerability dimensions,Consensus,Yes,India,NA,,flood risk mapping framework,Other,Yes,Validation / cross-validation (using empirical data),Model specification
55,Polsky 2004,"Putting space and time in Ricardian climate change impact studies: Agriculture in the US Great Plains, 1969-1992",Consensus,Yes,USA,STATE,,,Other: Spatial econometric models,Yes,Other,Model specification; Spatial and temporal scale issues; Spatial dependence & heterogeneity issues
60,Krol 2007,Regional integrated modelling of climate change impacts on natural resources and resource usage in semi-arid Northeast Brazil,Consensus,Yes,Brazil,NA,,,System dynamics model; Other: Integrated modeling,Yes,Validation / cross-validation (using empirical data),Model specification; Knowledge of the system
63,Asamoah 2020,Global stability and cost-effectiveness analysis of COVID-19 considering the impact of the environment: using data from Ghana,Consensus,Yes,Ghana,,,Deterministic model,Other,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Model specification; Knowledge of the system
68,Liu 2021,"Dynamics of local impacts in low-carbon transition: Agent-based modeling of lithium mining-community-aquifer interactions in Salar de Atacama, Chile",Consensus,Yes,Chile,NA,,,Agent-based model,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Model specification; Knowledge of the system; Empirical data limitations
69,Celino 2011,Explorative Nature of Negotiation in Participatory Decision Making for Sustainability,Consensus,Yes,Italy,NA,,,Conceptual model (non-quantitative),No,,
71,Viana 2022,Multidimensional risk assessment and categorization of hydrogen pipelines,Consensus,Yes,None_Unspecified,NA,,,Other: Multidimensional Risk Assessment and Categorization model,Yes," Sensitivity analysis; Other: consequence function, which is the probability functions are assigned to represent the magnitude of consequences",Model specification; Knowledge of the system; Computing limitations; Empirical data limitations
72,Rocchi 2021,Sustainability of Rearing System Using Multicriteria Analysis: Application in Commercial Poultry Production,Consensus,Yes,Italy,NA,,,Other:  Multicriteria Analysis,Yes, Sensitivity analysis,Knowledge of the system; Empirical data limitations
73,Marohn 2013,A software coupling approach to assess low-cost soil conservation strategies for highland agriculture in Vietnam,Consensus,Yes,Vietnam,NA,,,Agent-based model,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Spatial and temporal scale issues; Empirical data limitations
76,Colovic 2021,A network design tool for railway electrification considering the environmental impact,Consensus,Yes,Italy,NA,,railway network electrification design model,System dynamics model; Other: linear programming,Yes, Sensitivity analysis,Knowledge of the system
77,Polsky 2001,Adaptation to climate variability and change in the US Great Plains: A multi-scale analysis of Ricardian climate sensitivities,Consensus,Yes,USA,,,,Other: Multi-level regression model,Yes, Sensitivity analysis,Model specification; Spatial and temporal scale issues
78,LoPiano 2022,Unpacking the modelling process via sensitivity auditing,Consensus,No,Other,,Various,More of a summary/perspectives paper,,Other: ,,
79,Stineman 2001,"Defining the population, treatments, and outcomes of interest - Reconciling the rules of biology with meaningfulness",Consensus,Yes,None_Unspecified,NA,,,Conceptual model (non-quantitative),No,,
80,Blake 2018,A deconvolutional Bayesian mixing model approach for river basin sediment source apportionment,Consensus,No,NA,NA,,,,Other: ,,
81,MacAskill 2021,Examining green affordable housing policy outcomes in Australia: A systems approach,Consensus,Yes,Australia,NA,,,System dynamics model,Yes, Sensitivity analysis,Model specification
83,Batouli 2022,DyNet-LCCA: a simulation framework for dynamic network-level life- cycle cost analysis in evolving infrastructure systems,Consensus,Yes,USA,,,,Agent-based model,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Model specification; Knowledge of the system
87,Memari 2021,Hybrid wind-municipal solid waste biomass power plant location selection considering waste collection problem: a case study,Consensus,Yes,Iran,NA,,,Conceptual model (non-quantitative); Other: Z-number Data Envelopment Analysis (DEA),Yes, Sensitivity analysis,Spatial and temporal scale issues
88,Stutz 2014,Modeling the Pre-Industrial Roots of Modern Super-Exponential Population Growth,Consensus,Yes,Global,NA,Global,population growth model,System dynamics model,Yes, Sensitivity analysis,Model specification; Knowledge of the system; Empirical data limitations
89,Khan 2022,Modelling and techno-economic analysis of standalone SPV/Wind hybrid renewable energy system with lead-acid battery technology for rural applications,Consensus,Yes,India,NA,,,Other: The authors defined a Hybrid Renewable Energy System model in MATLAB/SIMULINK,Yes, Sensitivity analysis,Model specification
90,Andriantiatsaholiniaina 2004,Evaluating strategies for sustainable development: fuzzy logic reasoning and sensitivity analysis,Consensus,Yes,"Greece, USA",NA,,,Other: fuzzy logic model,Yes, Sensitivity analysis,Model specification
91,Neumann 2017,"Integrative analysis of the Lake Simcoe watershed (Ontario, Canada) as a socio-ecological system",Consensus,Yes,Canada,NA,,,Other: Self-Organizing Maps and Structural Equation Modeling (SEM),Yes,Validation / cross-validation (using empirical data),Model specification; Spatial and temporal scale issues; Empirical data limitations
93,Lu 2023,A Multi-Criteria Framework for Sustainability Evaluation of Hydrogen-Based Multi-Microgrid Systems under Triangular Intuitionistic Fuzzy Environment,Consensus,Yes,None_Unspecified,NA,,,Conceptual model (non-quantitative),Yes, Sensitivity analysis,Knowledge of the system; Empirical data limitations
94,Brugnach 2008,A broadened view on the role for models in natural resource management: Implications for model development,Consensus,No,NA,NA,,,,,,
95,Estacio 2024,Impacts of socio-environmental policy mix on mitigating agricultural abandonment: An empirical agent-based modeling,Consensus,Yes,Philippines,NA,,"Based on the interviews, a conceptual framework for the agent 
classes, agent attributes, agent behaviors, and agent interactions was 
derived (Fig. 2).",Agent-based model; Conceptual model (non-quantitative),Yes,Validation / cross-validation (using empirical data),Model specification; Knowledge of the system; Spatial and temporal scale issues; Computing limitations; Spatial dependence & heterogeneity issues; Empirical data limitations
96,Halkia 2020,The Global Conflict Risk Index: A quantitative tool for policy support on conflict prevention,Consensus,Yes,Europe,NA,,,Conceptual model (non-quantitative); Other: Global Conflict Risk Index Model,Yes,Validation / cross-validation (using empirical data),Model specification; Spatial dependence & heterogeneity issues; Empirical data limitations
97,Elleuch 2021,Solving a Multiple User Energy Source Selection Problem Using a Fuzzy Multi-Criteria Group Decision-Making Approach,Consensus,Yes,Tunisia,,,,System dynamics model,Yes, Sensitivity analysis,Model specification
98,Muronda 2021,Uncertainty Analysis of Reservoir Operation Based on Stochastic Optimization Approach Using the Generalized Likelihood Uncertainty Estimation Method,Consensus,Yes,Iran,NA,,,"Other: Autoregressive integrated moving average (ARIMA) and seasonal autoregressive integrated 
moving average (SARIMA) models",Yes,Other: Generalized likelihood uncertainty estimation,Model specification
100,Borji 2023,A Novel Sustainable Multi-objective Optimization Model for Steel Supply Chain Design Considering Technical and Managerial Issues: a Case Study,Consensus,Yes,Iran,NA,,Case study was for Iran but model could be used elsewhere; not sure if there is an environmental component to this model,"Conceptual model (non-quantitative); Other:  multi-
objective mixed-integer linear programming",Yes, Sensitivity analysis,Model specification; Knowledge of the system; Empirical data limitations
101,Mondal 2024,Sustainable-resilient-responsive supply chain with demand prediction: An interval type-2 robust programming approach,Consensus,Yes,India,NA,,Not sure if Factorial Design or not,"Conceptual model (non-quantitative); Other:  Robust-possibilistic programming, multi-objective mixed-integer programming model on sustainable-resilient-responsive supply chain, ",Yes, Sensitivity analysis; Sensitivity analysis using factorial design,Model specification; Knowledge of the system; Spatial and temporal scale issues; Empirical data limitations
102,daSilva 2020,Water sustainability assessment from the perspective of sustainable development capitals: Conceptual model and index based on literature review,Consensus,Yes,None_Unspecified,NA,,,Conceptual model (non-quantitative),No,,
104,Zandi 2024,GIS-Enabled Multi-Criteria Assessment for Hospital Site Suitability: A Case Study of Tehran,Consensus,Yes,Iran,,,,"Other: Suitability mapping using a combination of road networks, land use, and population information. ",Yes, Sensitivity analysis,Model specification
105,Veerkamp 2020,Future projections of biodiversity and ecosystem services in Europe with two integrated assessment models,Consensus,Yes,Other,NA,Europe,,Biophysical model; Other: Integrated assessment models (IMAGE- GLOBIO and CLIMSAVE),No,,
106,Ogbolumani 2021,Multi-objective optimisation of constrained food-energy-water-nexus systems for sustainable resource allocation,Consensus,Yes,South Africa,NA,,,Other: Multi-objective optimisation system modelling,No,,
107,Yani 2022,An Adaptive Fuzzy Multi-Criteria Model for Sustainability Assessment of Sugarcane Agroindustry Supply Chain,Consensus,Yes,Indonesia,,,,System dynamics model,Yes,Validation / cross-validation (using empirical data); Other: Verification of individual model inputs through literature and interviews ,Model specification; Knowledge of the system; Empirical data limitations
108,Pastick 2019,Spatiotemporal remote sensing of ecosystem change and causation across Alaska,Consensus,Yes,USA,STATE,,,Other: combination of different linear regression models,Yes,Validation / cross-validation (using empirical data),Model specification
109,Liu 2023,The Diffusion Rule of Demand-Oriented Biogas Supply in Distributed Renewable Energy System: An Evolutionary Game-Based Approach,Consensus,Yes,China,NA,,,System dynamics model; Other: Evolutionary game model,Yes, Sensitivity analysis,Model specification
110,Shariat 2019,Risk analysis of urban stormwater infrastructure systems using fuzzy spatial multi-criteria decision making,Consensus,Yes,Iran,NA,,,Other: Fuzzy Analytic Hierarchy Process,Yes,Validation / cross-validation (using empirical data); Other: fuzzy sets theory,Model specification
111,Zhou 2022,"Spatiotemporal analysis of interactions between seasonal water, climate, land use, policy, and socioeconomic changes: Hulun-Buir Steppe as a Case Study",Consensus,Yes,China,NA,,,"Other: Coupled models, but very scarce details on models, unclear to me",No,,
112,Bondank 2020,Infrastructure Interdependency Failures From Extreme Weather Events as a Complex Process,Consensus,No,NA,NA,,,,Other: ,,
114,Meuwissen 2019,A framework to assess the resilience of farming systems,Consensus,Yes,Netherlands,NA,,,Conceptual model (non-quantitative),No,,
115,Mark 2017,Glacier loss and hydro-social risks in the Peruvian Andes,Consensus,Yes,Peru,NA,,,Conceptual model (non-quantitative),No,,
117,Seminar 2023,Using Precision Agriculture (PA) Approach to Select Suitable Final Disposal Sites for Energy Generation,Consensus,Yes,Indonesia,NA,,,Other: Spatial modeling and multi-criteria decision analysis,Yes,Validation / cross-validation (using empirical data),Knowledge of the system; Empirical data limitations
118,Ge 2021,"Uncertain Analysis of Fuzzy Evaluation Model for Water Resources Carrying Capacity: A Case Study in Zanhuang County, North China Plain",Consensus,Yes,China,NA,,,Other: Fuzzy Comprehensive Evaluation Model &Analytic Hierarchy Process model,Yes, Sensitivity analysis,Model specification; Empirical data limitations
120,Losada 2022,Do Rock Design Formulas Based on Wave Flume Experiments Reliably Model Their Performance at Sea?,Consensus,No,NA,NA,,,,,,
121,Moglia 2012,Multi-criteria decision assessments using Subjective Logic: Methodology and the case of urban water strategies,Consensus,Yes,Australia,NA,,"""Unfortunately, there is no available information about probabil-
ity distributions for the outcome variables in the case study.
Instead, in the absence of rigorous sensitivity analysis, the proba-
bility distributions (i.e. standard deviation or ranges) of all vari-
ables model has been assigned using a hypothetical data set
based on discussions with the water planners, as shown in Table 3""",Other: Basic Bayesian Network framework with Subjective Logic for Multi-Criteria Decision Analysis,Yes,Other:  Subjective Logic framework,Model specification; Knowledge of the system
122,Yariyan 2020,Earthquake Vulnerability Mapping Using Different Hybrid Models,Consensus,Yes,Iran,NA,,Not sure if this is considered a socio-environmental model,Other: A-OWA and A-fuzzy hybrid model to create an index,Yes,Validation / cross-validation (using empirical data); Other: Used sensitivity classes,Knowledge of the system
124,Prentice 2021,A Strategic Management Framework for the Commercialization of Multitechnology Renewable Energy Systems: The Case of Concentrating Solar Power in South Africa,Consensus,No,NA,,,"Only includes a ""strategic management framework"" not a socio-environmental model",,,,
125,Huang 2023,"Fuzzy evaluation of ecological vulnerability based on the SRP-SES method and analysis of multiple decision-making attitudes based on OWA operators: A case of Fujian Province, China",Consensus,Yes,China,NA,,"Fig. 8. Moran scatter plot of the spatial autocorrelation of ecological 
vulnerability addresses spatial dependence.","Other: Analytic Hierarchy Process model,  sensitivity-resilience-pressure model, fuzzy evaluation model",Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis; Other: Comparison of outputs with theoretical expectations,Model specification; Knowledge of the system; Spatial dependence & heterogeneity issues
126,Blanco 2017,Energy transitions and emerging economies: A multi-criteria analysis of policy options for hydropower surplus utilization in Paraguay,Consensus,Yes,Paraguay,NA,,,Conceptual model (non-quantitative); Other: Analytic Hierarchy Process model,Yes, Sensitivity analysis,Model specification; Knowledge of the system; Empirical data limitations
127,Leenhardt 2015,"Challenges, insights and perspectives associated with using social-ecological science for marine conservation",Consensus,No,NA,NA,,,,Other: ,,
128,Lemos 2022,Artificial intelligence and change management in small and medium-sized enterprises: an analysis of dynamics within adaptation initiatives,Consensus,No,Portugal,,,Not relevant,,No,,
129,Carriger 2018,Representing causal knowledge in environmental policy interventions: Advantages and opportunities for qualitative influence diagram applications,Consensus,Yes,USA,STATE,,,Conceptual model (non-quantitative),No,,
131,Castilla-Rho 2015,An agent-based platform for simulating complex human-aquifer interactions in managed groundwater systems,Consensus,Yes,None_Unspecified,,,Hypothetical example used,Agent-based model,Yes, Sensitivity analysis,Model specification; Spatial dependence & heterogeneity issues
132,Kaneko 2013,"Strategic system development toward biofuel, desertification and crop production monitoring in continental scales using satellite-based photosynthesis models",Consensus,Yes,Other,NA,"South America, Africa, Eastern Europe, Asia, North America",,Biophysical model; Conceptual model (non-quantitative),Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Knowledge of the system; Spatial and temporal scale issues; Empirical data limitations
134,Codato 2023,Where to leave fossil fuels underground? A multi-criteria analysis to identify unburnable carbon areas in the Ecuadorian Amazon region,Consensus,Yes,Ecuador,NA,,,Other: Spatial multi criteria decision analysis,No,,
137,Liu 2018,Risk evaluation of electric vehicle charging infrastructure public-private partnership projects in China using fuzzy TOPSIS,Consensus,Yes,China,NA,,,Other: Fuzzy Order Preference by Similarity to Ideal Solution (Fuzzy TOPSIS),Yes, Sensitivity analysis,Knowledge of the system
138,Cobos-Mora 2023,Suitable site selection for transfer stations in a solid waste management system using analytical hierarchy process as a multi-criteria decision analysis: a case study in Azuay-Ecuador,Consensus,Yes,Ecuador,NA,,,Other: GIS-MCDA framework & Analytical Hierarchical Process Model,Yes, Sensitivity analysis,Model specification; Knowledge of the system; Spatial and temporal scale issues; Empirical data limitations
139,Guede-Fernández 2021,A Deep Learning Based Object Identification System for Forest Fire Detection,Consensus,Yes,Portugal ,NA,,Do not develop a new model but use an established one for machine learning,Other: Deep learning-based model (Faster R-CNN),Yes,Validation / cross-validation (using empirical data),Model specification
142,Pelzer 2012,"Assessing innovative cropping systems with DEXiPM, a qualitative multi-criteria assessment tool derived from DEXi",Consensus,Yes,France,NA,,,Conceptual model (non-quantitative); Other: hierarchical and qualitative multi-criteria model,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Model specification; Knowledge of the system
145,Ross 2020,Accounting for two-billion tons of stabilized soil carbon,Consensus,"Other: No - no social dimension to the model. Closest is that one of the model covariates is ""historical land use""",NA,NA,,,,,,
147,Polhill 2019,"Crossing the chasm: a ""tube-map' for agent-based social simulation of policy scenarios in spatially-distributed systems",Consensus,No,NA,NA,,,,Other: ,,
148,Yazdandoost 2015,"URBAN STORMWATER AS A WATER RESOURCE OPPORTUNITY, A NEXUS APPROACH TO DECISION MAKING",Consensus,Yes,Iran,NA,,,"Other: A mathematical model used for simulation of urban
runoff quantity and quality in storm and combined sewer systems and natural waterways",Yes, Sensitivity analysis,Model specification; Knowledge of the system
149,Pluchinotta 2020,Integrating Problem Structuring Methods And Concept-Knowledge Theory For An Advanced Policy Design: Lessons From A Case Study In Cyprus,Consensus,Yes,Republic of Cyprus,,,,System dynamics model; Conceptual model (non-quantitative),No,,
150,Lan 2019,A holistic design approach for residential net-zero energy buildings: A case study in Singapore,Consensus,Yes,Singapore,NA,,,Other: Multi-objective optimization,Yes, Sensitivity analysis,Model specification
151,Rodriguez-Gonzalez 2020,Effect of feedback loops on the sustainability and resilience of human-ecosystems,Consensus,Yes,Other,,Conceptual society,,Other: Compartmental model,Yes, Sensitivity analysis,Model specification
152,Blanchard 2015,Implications of Using 2 m versus 30 m Spatial Resolution Data for Suburban Residential Land Change Modeling,Consensus,Yes,USA,Massachusetts,,,"Other: GEOMOD (a pixel based, 
spatially explicit model)",Yes, Sensitivity analysis,Spatial and temporal scale issues
153,Adeleye 2022,Long-term drivers and timing of accelerated vegetation changes in African biomes and their management implications,Consensus,Yes,Africa,NA,,,Other: Generalized additive model,No,,
155,Arvor 2021,Towards user-adaptive remote sensing: Knowledge-driven automatic classification of Sentinel-2 time series,Consensus,Yes,Brazil,,,,Other: Conceptual model,Yes,Validation / cross-validation (using empirical data),Model specification; Spatial and temporal scale issues
156,Pamucar 2021,A new intelligent MCDM model for HCW management: The integrated BWM-MABAC model based on D numbers,Consensus,Yes,"Bosnia, Herzegovinia",NA,,,Other: MCDM-D methodology - a framework for making decisions with multiple criteria,Yes,Sensitivity analysis using factorial design,Model specification; Knowledge of the system; Empirical data limitations
158,Scholten 2017,Comparing multi-criteria decision analysis and integrated assessment to support long-term water supply planning,Consensus,Yes,Switzerland,NA,,,Other: Multi-criteria decision analysis,Yes,Other: Attribute uncertainty and scenarios,Model specification; Knowledge of the system
159,Diba 2019,Sustainable supplier selection for Satrec Vitalait Milk Company in Senegal using the novel grey relational analysis method,Consensus,Yes,Senegal,NA,,,Other: The study utilizes Grey Relational Analysis (GRA) for supplier selection and ranking based on multiple criteria. GRA is an analytical approach and not a simulation model,Yes, Sensitivity analysis,Knowledge of the system; Empirical data limitations
161,Ghailani 2023,Developing sustainable management strategies in construction and demolition wastes using a q-rung orthopair probabilistic hesitant fuzzy set-based decision modelling approach,Consensus,Yes,None_Unspecified,NA,,Multiple-attribute decision-making for construction waste management,"Conceptual model (non-quantitative); Other: Multi-attribute decision-making MADM methods: Fuzzy-weighted zero inconsistency (FWZIC) and
fuzzy decision by opinion score method (FDOSM)-based multiplicative multiple objective optimisation
by ratio analysis (MULTIMOORA) with the q-rung orthopair probabilistic hesitant fuzzy set (q-ROPHFS)",Yes,"Validation / cross-validation (using empirical data);  Sensitivity analysis; Other: Systematic modelling, Comparison analysis",Model specification; Knowledge of the system; Empirical data limitations
162,VandeWalle 2022,In silico assessment of household level closed water cycles: Towards extreme decentralization,Consensus,Yes,Belgium,,,,System dynamics model,Yes, Sensitivity analysis,Model specification; Knowledge of the system
164,Convertino 2016,Portfolio Decision Technology for Designing Optimal Syndemic Management Strategies,Consensus,Yes,Kolkata,,,,"Biophysical model; Other: combination of biophysical, multi-criteria and Pareto-optimization models",Yes, Sensitivity analysis,Model specification; Empirical data limitations
166,Schirpke 2012,SPA-LUCC: Developing land-use/cover scenarios in mountain landscapes,Consensus,Yes,"Austria, France, Germany, Italy, Switzerland ",NA,,a stochastic allocation model,System dynamics model; Other: a stochastic allocation model (Spatial Allocation procedures of Land use/cover change (SPA-LUCC)),Yes,Validation / cross-validation (using empirical data),Model specification
167,Lin 2022,An investigation of coupled natural human systems using a two-way coupled agent-based modeling framework,Consensus,Yes,USA,STATE,,,Agent-based model; System dynamics model,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Model specification; Spatial and temporal scale issues; Empirical data limitations
168,Falconer 2020,Anaerobic Digestion of food waste: Eliciting sustainable water-energy-food nexus practices with Agent Based Modelling and visual analytics,Consensus,Yes,United Kingdom,NA,,,Agent-based model,Yes, Sensitivity analysis,Spatial and temporal scale issues; Empirical data limitations
171,Guilsou 2023,Gaining Profound Knowledge of Cholera Outbreak: The Significance of the Allee Effect on Bacterial Population Growth and Its Implications for Human-Environment Health,Consensus,Yes,None_Unspecified,NA,,,System dynamics model; Other: Cholera disease spread model,Yes, Sensitivity analysis,Model specification; Empirical data limitations
172,Verhoog 2016,Modelling socio-ecological systems with MAIA: A biogas infrastructure simulation,Consensus,Yes,Netherlands,NA,,,Agent-based model,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Model specification; Knowledge of the system
173,Rowan 2007,Development of an Integrated Modelling Framework to Investigate Environmental and Economic Management Objectives in an Irrigated Landscape,Consensus,Yes,Australia,NA,,,Agent-based model,No,,
175,Chunara 2013,Assessing the Online Social Environment for Surveillance of Obesity Prevalence,Consensus,No,NA,NA,,,,Other: ,,
176,Shahriar 2012,Risk analysis for oil & gas pipelines: A sustainability assessment approach using fuzzy based bow-tie analysis,Consensus,Yes,None_Unspecified,NA,,,Other: bow-tie scenario analysis,Yes, Sensitivity analysis; Other: Error propagation using fuzzy linguistic probabilities,Model specification; Knowledge of the system; Empirical data limitations
177,Humphreys 2020,A geostatistical model for estimating edge effects and cumulative human disturbance in wetlands and coastal waters,Consensus,Yes,USA,"Florida, USA",,,Biophysical model,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Spatial and temporal scale issues; Spatial dependence & heterogeneity issues
